Cycle,Voltage_mean,Temperature_max,Time_at_max_temp,Discharge_duration
73,0.5813,0.5039,0.506,3140.547
129,0.3932,0.6775,0.1925,2990.859
4,0.0162,0.4844,0.766,2713.812
87,0.2633,0.735,0.2219,2912.469
49,0.2346,0.7545,0.5937,2373.687
63,0.5741,0.4171,0.398,3091.25
34,0.8905,0.4182,0.5852,3190.313
136,0.1786,0.6833,0.1548,2883.016
17,0.1705,0.8097,0.6199,2565.109
149,0.1279,0.8639,0.2907,2976.234
92,0.216,0.8053,0.1736,2884.984
60,0.1336,0.9357,0.5689,2442.547
25,0.2984,0.7045,0.7273,2593.531
174,0.713,0.5873,0.1954,2968.016
81,0.2171,0.6328,0.4163,2315.407
159,0.4858,0.377,0.4835,3034.25
52,0.8824,0.2398,0.7422,3275.125
16,0.7517,0.0345,0.6797,3215.859
10,0.7926,0.1864,0.2725,2440.547
152,0.1321,0.3378,0.2774,2946.969
120,0.0,0.5922,0.0,2751.516
96,0.4228,0.3154,0.5992,3083.25
121,0.3209,0.9759,0.2681,2955.438
76,0.6648,0.6829,0.4129,3135.031
38,0.6549,0.6095,0.5414,3222.093
131,0.5319,0.8414,0.4752,3030.765
123,0.6913,0.5832,0.1719,3014.672
89,0.7464,0.607,0.266,3088.328
173,0.3301,0.5577,0.3395,2973.281
26,0.5364,0.7769,0.854,2604.125
87,0.6952,0.6319,0.2917,3086.688
143,0.1477,0.6607,0.1027,2855.594
91,0.5322,0.7457,0.484,3082.937
23,0.8259,0.0416,0.7066,3289.562
190,0.1219,0.7776,0.0691,2860.781
138,0.5704,0.6799,0.1789,3011.734
83,0.4413,0.8707,0.4429,2327.157
131,0.5864,0.8765,0.2835,3030.765
82,0.8377,0.5489,0.2807,3101.406
57,0.7293,0.3583,0.5668,3191.063
39,0.6267,0.662,0.5387,3220.344
20,0.8556,0.0674,0.7713,3312.844
137,0.6955,0.6844,0.2277,3034.968
194,0.8807,0.7127,0.0797,2896.063
74,0.4012,0.6434,0.2993,2998.875
115,0.3073,0.9193,0.2418,2947.266
164,0.0248,0.8721,0.0183,2793.39
149,0.3157,0.6285,0.3465,2976.234
91,0.2764,0.7222,0.1975,2893.375
9,0.9131,0.1528,0.2533,2713.25
100,0.5193,0.5004,0.3283,3055.828
137,0.1554,0.6471,0.1442,2873.453
187,0.7503,0.5227,0.0514,2892.031
9,0.2902,0.2042,0.885,3236.125
34,0.4739,0.2919,0.3993,2315.407
101,0.4314,0.4053,0.1322,2322.0
6,0.7266,0.3069,0.9577,3652.281
3,0.9099,0.4606,0.9714,3410.375
45,1.0,0.2683,0.4692,2521.985
9,0.8062,0.3788,0.9578,3550.594
11,0.3677,0.201,0.8199,3226.078
45,0.9427,0.3222,0.7869,3196.015
29,0.7775,0.1672,0.8593,3210.234
7,0.7266,0.3402,0.9564,3650.828
13,0.3478,0.1853,0.8786,3222.188
180,0.2101,0.214,0.2266,2925.484
99,0.412,0.6661,0.3294,3021.0
36,0.6904,0.0475,0.828,3180.156
152,0.1259,0.6498,0.1035,2846.39
97,0.5918,0.6004,0.3786,3076.484
76,0.5939,0.1679,0.7215,3135.031
134,0.6059,0.645,0.134,2986.766
41,1.0,0.3922,0.4894,3165.359
17,0.6253,0.1782,0.8896,3225.125
37,0.921,0.4037,0.5067,3171.953
92,0.7601,0.7593,0.3501,3107.141
76,0.6849,0.4623,0.3383,2383.234
78,0.5213,0.1134,0.6985,3125.328
131,0.4014,1.0,0.2456,3030.765
179,0.419,0.684,0.1077,2938.547
93,0.2634,0.781,0.5959,2400.672
121,0.5435,0.5804,0.2209,3022.14
25,0.5741,0.6737,0.7474,2593.531
