Battery,Cycle,Fade_percentage,Current_capacity,Nominal_capacity,SOH,Capacity,Ambient_temperature,Voltage_mean,Voltage_max,Temperature_mean,Temperature_max,Time_at_max_temp,Discharge_duration
B0005,1,30,1.4,2,1.0,1.0,24,0.6693,0.0,0.4538,0.3236,1.0,3690.234
B0005,31,30,1.4,2,0.9918,0.9918,24,0.9488,0.8437,0.2139,0.18,0.9797,3470.672
B0005,32,30,1.4,2,0.9547,0.9547,24,0.9952,0.7161,0.2744,0.1891,0.9345,3414.109
B0005,33,30,1.4,2,0.9357,0.9357,24,0.994,0.7365,0.1899,0.1407,0.9162,3395.219
B0005,34,30,1.4,2,0.9171,0.9171,24,0.9734,0.6704,0.0496,0.0166,0.8889,3386.0
B0005,35,30,1.4,2,0.9088,0.9088,24,0.9517,0.7493,0.029,0.0289,0.89,3368.187
B0005,36,30,1.4,2,0.8996,0.8996,24,0.9733,0.7208,0.209,0.1476,0.8806,3368.266
B0005,37,30,1.4,2,0.8804,0.8804,24,0.9666,0.6776,0.1165,0.0749,0.8712,3358.719
B0005,38,30,1.4,2,0.8707,0.8707,24,0.9458,0.7505,0.058,0.0743,0.8528,3339.5
B0005,39,30,1.4,2,0.8533,0.8533,24,0.938,0.6822,0.0,0.0,0.8356,3331.265
B0005,40,30,1.4,2,0.8533,0.8533,24,0.9078,0.6962,0.0875,0.1637,0.8351,3321.188
B0005,41,30,1.4,2,0.8443,0.8443,24,0.9382,0.7123,0.2854,0.2598,0.8264,3321.844
B0005,42,30,1.4,2,0.8345,0.8345,24,0.9386,0.7095,0.344,0.2936,0.817,3311.828
B0005,43,30,1.4,2,0.8438,0.8438,24,0.9655,0.229,0.1871,0.1924,0.847,3327.391
B0005,44,30,1.4,2,0.8351,0.8351,24,0.9094,0.8124,0.157,0.1285,0.8175,3312.078
B0005,45,30,1.4,2,0.8159,0.8159,24,0.8847,0.67,0.0326,0.0865,0.8083,3293.172
B0005,46,30,1.4,2,0.7985,0.7985,24,0.8878,0.6964,0.0006,0.0658,0.7817,3275.328
B0005,47,30,1.4,2,0.7884,0.7884,24,0.8643,0.6722,0.0107,0.1037,0.772,3265.016
B0005,49,30,1.4,2,0.8712,0.8712,24,1.0,0.7436,0.7692,0.5711,0.8531,3329.266
B0005,50,30,1.4,2,0.8434,0.8434,24,0.9592,0.6935,0.4884,0.3786,0.8352,3301.579
B0005,51,30,1.4,2,0.8252,0.8252,24,0.9153,0.6634,0.3486,0.3152,0.8086,3283.563
B0005,52,30,1.4,2,0.8074,0.8074,24,0.8986,0.6994,0.2474,0.2209,0.7909,3275.125
B0005,53,30,1.4,2,0.7983,0.7983,24,0.8706,0.7178,0.2681,0.3067,0.7818,3265.656
B0005,54,30,1.4,2,0.789,0.789,24,0.8681,0.6883,0.4046,0.3923,0.7819,3266.093
B0005,55,30,1.4,2,0.7713,0.7713,24,0.8461,0.6569,0.3061,0.3189,0.7552,3257.594
B0005,56,30,1.4,2,0.7528,0.7528,24,0.8409,0.6034,0.2657,0.2845,0.7372,3248.593
B0005,57,30,1.4,2,0.7435,0.7435,24,0.8198,0.661,0.2359,0.2814,0.7278,3238.766
B0005,58,30,1.4,2,0.7356,0.7356,24,0.8096,0.6763,0.324,0.3669,0.729,3240.14
B0005,59,30,1.4,2,0.7255,0.7255,24,0.8184,0.6831,0.448,0.4243,0.7101,3230.109
